"sf__Id","sf__Created","Id","IsActive","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c"
"0jiVY00000002AuYAI","false","0jiVY00000002AuYAI","false","false","false","false","false","false"
"0jiVY00000002joYAA","false","0jiVY00000002joYAA","false","false","false","false","false","false"
"0jiVY00000002LDYAY","false","0jiVY00000002LDYAY","false","false","false","false","false","false"
"0jiVY000000020WYAQ","false","0jiVY000000020WYAQ","false","false","false","false","false","false"
"0jiVY00000001L8YAI","false","0jiVY00000001L8YAI","false","false","false","false","false","false"
"0jiVY00000001qAYAQ","false","0jiVY00000001qAYAQ","false","false","false","false","false","false"
"0jiVY00000001foYAA","false","0jiVY00000001foYAA","false","false","false","false","false","false"
"0jiVY00000002AvYAI","false","0jiVY00000002AvYAI","false","false","false","false","false","false"
"0jiVY00000002LEYAY","false","0jiVY00000002LEYAY","false","false","false","false","false","false"
"0jiVY000000020XYAQ","false","0jiVY000000020XYAQ","false","false","false","false","false","false"
"0jiVY00000001L9YAI","false","0jiVY00000001L9YAI","false","false","false","false","false","false"
"0jiVY00000001qBYAQ","false","0jiVY00000001qBYAQ","false","false","false","false","false","false"
"0jiVY00000001fpYAA","false","0jiVY00000001fpYAA","false","false","false","false","false","false"
"0jiVY00000002AwYAI","false","0jiVY00000002AwYAI","false","false","false","false","false","false"
"0jiVY00000002LFYAY","false","0jiVY00000002LFYAY","false","false","false","false","false","false"
"0jiVY000000020YYAQ","false","0jiVY000000020YYAQ","false","false","false","false","false","false"
"0jiVY00000001LAYAY","false","0jiVY00000001LAYAY","false","false","false","false","false","false"
"0jiVY00000001qCYAQ","false","0jiVY00000001qCYAQ","false","false","false","false","false","false"
"0jiVY00000001fqYAA","false","0jiVY00000001fqYAA","false","false","false","false","false","false"
"0jiVY00000002AxYAI","false","0jiVY00000002AxYAI","false","false","false","false","false","false"
"0jiVY00000002k0YAA","false","0jiVY00000002k0YAA","false","false","false","false","false","false"
"0jiVY00000002LGYAY","false","0jiVY00000002LGYAY","false","false","false","false","false","false"
"0jiVY000000020ZYAQ","false","0jiVY000000020ZYAQ","false","false","false","false","false","false"
"0jiVY00000001LBYAY","false","0jiVY00000001LBYAY","false","false","false","false","false","false"
"0jiVY00000001qDYAQ","false","0jiVY00000001qDYAQ","false","false","false","false","false","false"
"0jiVY00000001frYAA","false","0jiVY00000001frYAA","false","false","false","false","false","false"
"0jiVY00000002AyYAI","false","0jiVY00000002AyYAI","false","false","false","false","false","false"
"0jiVY00000002LHYAY","false","0jiVY00000002LHYAY","false","false","false","false","false","false"
"0jiVY000000020aYAA","false","0jiVY000000020aYAA","false","false","false","false","false","false"
"0jiVY00000001LCYAY","false","0jiVY00000001LCYAY","false","false","false","false","false","false"
"0jiVY00000001qHYAQ","false","0jiVY00000001qHYAQ","false","false","false","false","false","false"
"0jiVY00000001fvYAA","false","0jiVY00000001fvYAA","false","false","false","false","false","false"
"0jiVY00000002B2YAI","false","0jiVY00000002B2YAI","false","false","false","false","false","false"
"0jiVY00000002LLYAY","false","0jiVY00000002LLYAY","false","false","false","false","false","false"
"0jiVY000000020eYAA","false","0jiVY000000020eYAA","false","false","false","false","false","false"
"0jiVY00000001LGYAY","false","0jiVY00000001LGYAY","false","false","false","false","false","false"
"0jiVY00000002d1YAA","false","0jiVY00000002d1YAA","false","false","false","false","false","false"
"0jiVY00000001qLYAQ","false","0jiVY00000001qLYAQ","false","false","false","false","false","false"
"0jiVY00000001fzYAA","false","0jiVY00000001fzYAA","false","false","false","false","false","false"
"0jiVY00000002B6YAI","false","0jiVY00000002B6YAI","false","false","false","false","false","false"
"0jiVY00000002jNYAQ","false","0jiVY00000002jNYAQ","false","false","false","false","false","false"
"0jiVY00000002LPYAY","false","0jiVY00000002LPYAY","false","false","false","false","false","false"
"0jiVY000000020iYAA","false","0jiVY000000020iYAA","false","false","false","false","false","false"
"0jiVY00000001LKYAY","false","0jiVY00000001LKYAY","false","false","false","false","false","false"
"0jiVY00000002wHYAQ","false","0jiVY00000002wHYAQ","false","false","false","false","false","false"
"0jiVY00000001qbYAA","false","0jiVY00000001qbYAA","false","false","false","false","false","false"
"0jiVY00000001gBYAQ","false","0jiVY00000001gBYAQ","false","false","false","false","false","false"
"0jiVY00000002BIYAY","false","0jiVY00000002BIYAY","false","false","false","false","false","false"
"0jiVY00000002LbYAI","false","0jiVY00000002LbYAI","false","false","false","false","false","false"
"0jiVY000000020uYAA","false","0jiVY000000020uYAA","false","false","false","false","false","false"
