"sf__Id","sf__Error","Id","Status"
"1pgVY000000005BYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005BYAQ","Cancelled"
"1pgVY000000005CYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005CYAQ","Cancelled"
"1pgVY000000005DYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005DYAQ","Cancelled"
"1pgVY000000005EYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005EYAQ","Cancelled"
"1pgVY000000005FYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005FYAQ","Cancelled"
"1pgVY000000005GYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005GYAQ","Cancelled"
"1pgVY000000005HYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005HYAQ","Cancelled"
"1pgVY000000005IYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005IYAQ","Cancelled"
"1pgVY000000005JYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005JYAQ","Cancelled"
"1pgVY000000005KYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005KYAQ","Cancelled"
"1pgVY000000005LYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005LYAQ","Cancelled"
"1pgVY000000005MYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005MYAQ","Cancelled"
"1pgVY000000005NYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000005NYAQ","Cancelled"
