Id,Name,NPSP_ID__c,IsActive,Available_for_Housing__c,Available_for_Program_Engagement__c,Available_for_Case_Management__c,Available_for_Clinical__c,Available_for_Peer__c
0jiVY00000002LEYAY,Employment-Job readiness training - Outreach,a0e8X00000mHh08QAC-Outreach,true,false,false,false,false,false
0jiVY000000020XYAQ,Employment-Job readiness training - Shelter,a0e8X00000mHh08QAC-Shelter,true,false,false,false,false,false
0jiVY00000001L9YAI,Employment-Job readiness training - TLP,a0e8X00000mHh08QAC-TLP,true,false,false,false,false,false
0jiVY00000001qBYAQ,Employment-Job retention support - 1440,a0e8X00000mHh1lQAC-1440,true,false,false,false,false,false
0jiVY00000001fpYAA,Employment-Job retention support - Chase,a0e8X00000mHh1lQAC-Chase,true,false,false,false,false,false
0jiVY00000002AwYAI,Employment-Job retention support - Drop-In,a0e8X00000mHh1lQAC-Drop-In,true,false,false,false,false,false
0jiVY00000002LFYAY,Employment-Job retention support - Outreach,a0e8X00000mHh1lQAC-Outreach,true,false,false,false,false,false
0jiVY000000020YYAQ,Employment-Job retention support - Shelter,a0e8X00000mHh1lQAC-Shelter,true,false,false,false,false,false
0jiVY00000001LAYAY,Employment-Job retention support - TLP,a0e8X00000mHh1lQAC-TLP,true,false,false,false,false,false
0jiVY00000001qCYAQ,Employment-Job search support - 1440,a0e8X00000mHh1qQAC-1440,true,false,false,false,false,false
0jiVY00000001fqYAA,Employment-Job search support - Chase,a0e8X00000mHh1qQAC-Chase,true,false,false,false,false,false
0jiVY00000002AxYAI,Employment-Job search support - Drop-In,a0e8X00000mHh1qQAC-Drop-In,true,false,false,false,false,false
0jiVY00000002k0YAA,Employment-Job search support - Nest 56,a0e8X00000mHh1qQAC-Nest 56,true,false,false,false,false,false
0jiVY00000002LGYAY,Employment-Job search support - Outreach,a0e8X00000mHh1qQAC-Outreach,true,false,false,false,false,false
0jiVY000000020ZYAQ,Employment-Job search support - Shelter,a0e8X00000mHh1qQAC-Shelter,true,false,false,false,false,false
0jiVY00000001LBYAY,Employment-Job search support - TLP,a0e8X00000mHh1qQAC-TLP,true,false,false,false,false,false
0jiVY00000001qDYAQ,Employment-Job skills training (job-specific skills) - 1440,a0e8X00000mHh20QAC-1440,true,false,false,false,false,false
0jiVY00000001frYAA,Employment-Job skills training (job-specific skills) - Chase,a0e8X00000mHh20QAC-Chase,true,false,false,false,false,false
0jiVY00000002AyYAI,Employment-Job skills training (job-specific skills) - Drop-In,a0e8X00000mHh20QAC-Drop-In,true,false,false,false,false,false
0jiVY00000002LHYAY,Employment-Job skills training (job-specific skills) - Outreach,a0e8X00000mHh20QAC-Outreach,true,false,false,false,false,false
0jiVY000000020aYAA,Employment-Job skills training (job-specific skills) - Shelter,a0e8X00000mHh20QAC-Shelter,true,false,false,false,false,false
0jiVY00000001LCYAY,Employment-Job skills training (job-specific skills) - TLP,a0e8X00000mHh20QAC-TLP,true,false,false,false,false,false
0jiVY00000001qFYAQ,Equine Therapy - 1440,a0e6100000Bsl4WAAR-1440,true,false,false,false,false,false
0jiVY000000020cYAA,Equine Therapy - Shelter,a0e6100000Bsl4WAAR-Shelter,true,false,false,false,false,false
0jiVY00000001qHYAQ,ESA support - 1440,a0e8X00000nslN8QAI-1440,true,false,false,false,false,false
0jiVY00000001fvYAA,ESA support - Chase,a0e8X00000nslN8QAI-Chase,true,false,false,false,false,false
0jiVY00000002B2YAI,ESA support - Drop-In,a0e8X00000nslN8QAI-Drop-In,true,false,false,false,false,false
0jiVY00000002LLYAY,ESA support - Outreach,a0e8X00000nslN8QAI-Outreach,true,false,false,false,false,false
0jiVY000000020eYAA,ESA support - Shelter,a0e8X00000nslN8QAI-Shelter,true,false,false,false,false,false
0jiVY00000001LGYAY,ESA support - TLP,a0e8X00000nslN8QAI-TLP,true,false,false,false,false,false
0jiVY00000002d1YAA,Family Coaching - Shelter,a0e6100000Bsl4bAAB-Shelter,true,false,false,false,false,false
0jiVY00000001qLYAQ,Family engagement general support (not clinical counseling) - 1440,a0e4M00000C5guUQAR-1440,true,false,false,false,false,false
0jiVY00000001fzYAA,Family engagement general support (not clinical counseling) - Chase,a0e4M00000C5guUQAR-Chase,true,false,false,false,false,false
0jiVY00000002B6YAI,Family engagement general support (not clinical counseling) - Drop-In,a0e4M00000C5guUQAR-Drop-In,true,false,false,false,false,false
0jiVY00000002jNYAQ,Family engagement general support (not clinical counseling) - Nest 56,a0e4M00000C5guUQAR-Nest 56,true,false,false,false,false,false
0jiVY00000002LPYAY,Family engagement general support (not clinical counseling) - Outreach,a0e4M00000C5guUQAR-Outreach,true,false,false,false,false,false
0jiVY000000020iYAA,Family engagement general support (not clinical counseling) - Shelter,a0e4M00000C5guUQAR-Shelter,true,false,false,false,false,false
0jiVY00000001LKYAY,Family engagement general support (not clinical counseling) - TLP,a0e4M00000C5guUQAR-TLP,true,false,false,false,false,false
0jiVY00000002wHYAQ,Financial Education and Navigation Assistance,,true,false,false,false,false,false
0jiVY00000001qbYAA,Group service-BIPOC support - 1440,a0e8X00000mHlvOQAS-1440,true,false,false,false,false,false
0jiVY00000001gBYAQ,Group service-BIPOC support - Chase,a0e8X00000mHlvOQAS-Chase,true,false,false,false,false,false
0jiVY00000002BIYAY,Group service-BIPOC support - Drop-In,a0e8X00000mHlvOQAS-Drop-In,true,false,false,false,false,false
0jiVY00000002LbYAI,Group service-BIPOC support - Outreach,a0e8X00000mHlvOQAS-Outreach,true,false,false,false,false,false
0jiVY000000020uYAA,Group service-BIPOC support - Shelter,a0e8X00000mHlvOQAS-Shelter,true,false,false,false,false,false
0jiVY00000001LWYAY,Group service-BIPOC support - TLP,a0e8X00000mHlvOQAS-TLP,true,false,false,false,false,false
0jiVY00000001qcYAA,Group service-Cooking/meal preparation support - 1440,a0e610000029svzAAA-1440,true,false,false,false,false,false
0jiVY00000001gCYAQ,Group service-Cooking/meal preparation support - Chase,a0e610000029svzAAA-Chase,true,false,false,false,false,false
0jiVY00000002BJYAY,Group service-Cooking/meal preparation support - Drop-In,a0e610000029svzAAA-Drop-In,true,false,false,false,false,false
0jiVY00000002jeYAA,Group service-Cooking/meal preparation support - Nest 56,a0e610000029svzAAA-Nest 56,true,false,false,false,false,false
0jiVY00000002LcYAI,Group service-Cooking/meal preparation support - Outreach,a0e610000029svzAAA-Outreach,true,false,false,false,false,false
0jiVY000000020vYAA,Group service-Cooking/meal preparation support - Shelter,a0e610000029svzAAA-Shelter,true,false,false,false,false,false
0jiVY00000001LXYAY,Group service-Cooking/meal preparation support - TLP,a0e610000029svzAAA-TLP,true,false,false,false,false,false
0jiVY00000001qdYAA,Group service-Creative explorations - 1440,a0e4M00000IMjXMQA1-1440,true,false,false,false,false,false
0jiVY00000001gDYAQ,Group service-Creative explorations - Chase,a0e4M00000IMjXMQA1-Chase,true,false,false,false,false,false
0jiVY00000002BKYAY,Group service-Creative explorations - Drop-In,a0e4M00000IMjXMQA1-Drop-In,true,false,false,false,false,false
0jiVY00000002jUYAQ,Group service-Creative explorations - Nest 56,a0e4M00000IMjXMQA1-Nest 56,true,false,false,false,false,false
