Id,Name,ProgramId,Available_for_Clinical__c,Available_for_Peer__c,Available_for_Case_Management__c,IsActive
0jiRT0000000b8JYAQ,Police Interaction- Arrest,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8KYAQ,Police Interaction- General Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8LYAQ,Pre-Lease Violation Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8MYAQ,Prosocial,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8NYAQ,Public Benefits Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8OYAQ,Rental Assistance with Budget,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8PYAQ,Resident Advisory Council,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8QYAQ,Substance Use Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8RYAQ,Tenant Retention Plan,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8SYAQ,Therapeutic Group,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8TYAQ,Updates and Progress,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8UYAQ,Updates and Progress (goal setting),11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8VYAQ,Vital Document Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8WYAQ,Voucher Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b8XYAQ,"Wellness, Mental Health, Mindfulness and Meditation Group",11WRT0000017pV32AI,false,false,false,true
