Id,Name,ProgramId,IsActive
0jiVY00000002jZYAQ,Case management activity with participant - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jaYAA,Life skills-Not covered by other service - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jbYAA,"Referral-Public benefits agency (SNAP, SSI, DIS) - Nest 56",11WVY000000GC3d2AG,false
0jiVY00000002jcYAA,Group Service-Life Skills - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jdYAA,Health-First aid or hygiene supply provided - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jeYAA,Group service-Cooking/meal preparation support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jfYAA,Clinical counseling-Mental health check-in - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jgYAA,Prosocial or recreational activity - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jhYAA,Creative Expression Activity - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jiYAA,Substance use support (not clinical counseling) - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jjYAA,Attempt to contact participant - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jkYAA,Actively seeking employment-Outcome - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jmYAA,Education-GED testing - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jnYAA,Education-General support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002joYAA,Employment-General support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jpYAA,Family Coaching - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jqYAA,Budgeting and financial management-General support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jrYAA,ID and vital documents general support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jsYAA,Legal issue general support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jtYAA,Medical care access general support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002juYAA,Mental health general support (not clinical counseling) - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jvYAA,Clinical counseling-Individual session - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jwYAA,Clinical counseling-Crisis intervention - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jxYAA,Conflict resolution general support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jyYAA,Cooking/meal preparation support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002jzYAA,Housing application support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002k0YAA,Employment-Job search support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002k1YAA,Group service-Prosocial or recreational activity on-site - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002k2YAA,Housing-Move in assistance - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002k3YAA,Housing-New tenant orientation - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002k4YAA,Points store use - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002k5YAA,Self-care general support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002k6YAA,Transportation-Training or information provided - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002k7YAA,Public benefits support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002k8YAA,Housing-Lease violation follow-up support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002k9YAA,Housing-Rent support - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002kAYAQ,Drop-in Mail Pickup - Nest 56,11WVY000000GC3d2AG,false
0jiVY00000002rRYAQ,Employment Support,11WVY000000GC3d2AG,false
0jiVY00000002t3YAA,Employment Support,11WVY000000GC3d2AG,false
0jiVY00000002ufYAA,Benefit Verification/ Enrollment,11WVY000000GC3d2AG,false
0jiVY00000002wHYAQ,Financial Education and Navigation Assistance,11WVY000000GC3d2AG,false
0jiVY00000002xtYAA,Community Group- Rooted 303,11WVY000000GC3d2AG,false
0jiVY00000002zVYAQ,Life Skills- Clean With Me,11WVY000000GC3d2AG,false
0jiVY0000000317YAA,Life Skills- Hand Embroidery,11WVY000000GC3d2AG,false
0jiVY0000000318YAA,Community Resource Navigation,11WVY000000GC3d2AG,false
0jiVY000000032jYAA,Nutrition Assistance- Food Bank,11WVY000000GC3d2AG,false
0jiVY000000034LYAQ,Education- GED Class Attendance,11WVY000000GC3d2AG,false
0jiVY000000035xYAA,Community Partner Referral,11WVY000000GC3d2AG,false
0jiVY000000037ZYAQ,Housing Retention- Rental Assistance with Budget,11WVY000000GC3d2AG,false
0jiVY000000039BYAQ,Vital Document Verification,11WVY000000GC3d2AG,false
0jiVY00000003AnYAI,CMC Check In,11WVY000000GC3d2AG,false
0jiVY00000003CPYAY,Emotional Processing,11WVY000000GC3d2AG,false
0jiVY00000003E1YAI,Emergency Service Coordination,11WVY000000GC3d2AG,false
0jiVY00000003ynYAA,BIPOC Support,11WVY000000GC6r2AG,true
0jiVY00000003yoYAA,BIPOC Support,11WVY000000GC6r2AG,false
0jiVY00000003ypYAA,BIPOC Support,11WVY000000GC3d2AG,true
0jiVY00000003yqYAA,Bus pass,11WVY000000GC3d2AG,true
0jiVY00000003yrYAA,Bus pass,11WVY000000GC6r2AG,false
0jiVY00000003ysYAA,Bus pass,11WVY000000GC6r2AG,true
0jiVY00000003ytYAA,Case Management Meeting,11WVY000000GC3d2AG,false
0jiVY00000003yuYAA,Case Management Meeting,11WVY000000GC6r2AG,false
0jiVY00000003yvYAA,Community Engagement,11WVY000000GC6r2AG,true
0jiVY00000003ywYAA,Community Engagement,11WVY000000GC3d2AG,true
0jiVY00000003yxYAA,Community Engagement,11WVY000000GC6r2AG,false
0jiVY00000003yyYAA,Community Resource Navigation,11WVY000000GC3d2AG,true
0jiVY00000003yzYAA,Community Resource Navigation,11WVY000000GC6r2AG,false
0jiVY00000003z0YAA,Community Resource Navigation,11WVY000000GC6r2AG,true
0jiVY00000003z1YAA,Conflict Resolution Support,11WVY000000GC6r2AG,true
0jiVY00000003z2YAA,Conflict Resolution Support,11WVY000000GC3d2AG,true
0jiVY00000003z3YAA,Education,11WVY000000GC3d2AG,true
0jiVY00000003z4YAA,Education,11WVY000000GC6r2AG,false
0jiVY00000003z5YAA,Education,11WVY000000GC6r2AG,true
0jiVY00000003z6YAA,Education Support,11WVY000000GC6r2AG,true
0jiVY00000003z7YAA,Education Support,11WVY000000GC3d2AG,true
0jiVY00000003z8YAA,Education Support,11WVY000000GC6r2AG,false
0jiVY00000003z9YAA,"Emergency Service Coordination (STAR, Emergency Room/ Urgent Care support)",11WVY000000GC6r2AG,false
0jiVY00000003zAYAQ,"Emergency Service Coordination (STAR, Emergency Room/ Urgent Care support)",11WVY000000GC3d2AG,true
0jiVY00000003zBYAQ,"Emergency Service Coordination (STAR, Emergency Room/ Urgent Care support)",11WVY000000GC6r2AG,true
0jiVY00000003zCYAQ,Emotional Processing,11WVY000000GC6r2AG,true
0jiVY00000003zDYAQ,Emotional Processing,11WVY000000GC3d2AG,true
0jiVY00000003zEYAQ,Employment Support,11WVY000000GC6r2AG,true
