"Name","NPSP_ID__c","UUID__c","ProgramId","BenefitTypeId","IsActive","BenefitStatus","CPT_Code__c","Default_Disbursement_Quantity__c","Default_Duration_c__c","Housing_Capacity__c","Is_a_Housing_Benefit__c","Spots_Currently_Filled__c","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c","Lifecycle_State__c"
"Other supports","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"Other supports","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Parenting Support","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1","60","","false","","true","false","true","false","false","Active"
"Parenting Support","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"Parenting Support","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Peer Support","","","11WVY000000GC6r2AG","0jhVY000000001oYAA","false","Active","","1","60","","false","","false","false","false","false","true","Replaced"
"Peer Support","","","11WVY000000GC3d2AG","0jhVY000000001oYAA","true","Active","","1","240","","false","","false","false","false","false","true",""
"Pre-Lease Violation Support","","","11WVY000000GC3d2AG","0jhVY000000001lYAA","true","Active","","1","60","","false","","false","false","true","true","true",""
"Pre-Lease Violation Support","","","11WVY000000GC6r2AG","0jhVY000000001lYAA","false","Active","","1","60","","false","","false","false","true","true","true","Replaced"
"Public Benefits Support","","","11WVY000000GC3d2AG","0jhVY000000001fYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"Public Benefits Support","","","11WVY000000GC6r2AG","0jhVY000000001fYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Public Benefits Support","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1","60","","false","","true","false","true","false","false","Active"
"Rental Assistance with Budget","","","11WVY000000GC3d2AG","0jhVY000000001lYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"Rental Assistance with Budget","","","11WVY000000GC6r2AG","0jhVY000000001lYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Substance Use Support","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","true","false","false","true","false",""
"Substance Use Support","","","11WVY000000GC3d2AG","0jhVY000000001eYAA","true","Active","","1","60","","false","","false","false","false","true","false",""
"Substance Use Support","","","11WVY000000GC6r2AG","0jhVY000000001eYAA","true","Active","","1","60","","false","","true","false","false","true","false",""
"Substance Use Support","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","false","false","false","true","false",""
"Tenant Retention Plan","","","11WVY000000GC3d2AG","0jhVY000000001lYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"Tenant Retention Plan","","","11WVY000000GC6r2AG","0jhVY000000001lYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Therapeutic Group","","","11WVY000000GC3d2AG","0jhVY000000001oYAA","true","Active","","1","240","","false","","false","false","false","true","false",""
"Therapeutic Group","","","11WVY000000GC6r2AG","0jhVY000000001eYAA","true","Active","","1","60","","false","","true","false","false","true","false","Active"
"Therapeutic Group","","","11WVY000000GC6r2AG","0jhVY000000001oYAA","false","Active","","1","60","","false","","false","false","false","true","false","Replaced"
"Updates and Progress (goal setting)","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1","60","","false","","true","false","true","false","false","Active"
"Vital Document Support","","","11WVY000000GC3d2AG","0jhVY000000001fYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"Vital Document Support","","","11WVY000000GC6r2AG","0jhVY000000001fYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Vital Document Support","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1","60","","false","","true","false","true","false","false","Active"
"Voucher Support","","","11WVY000000GC6r2AG","0jhVY000000001lYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Voucher Support","","","11WVY000000GC3d2AG","0jhVY000000001lYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
